,rho,alpha_B
Estimated,5.2017974853515625,-9.055944442749023
Theoretical,5.18211555480957,-9.087642669677734
Absolute Difference,0.019681930541992188,0.03169822692871094
Overall Relative Difference (ORD),0.003798049408942461,0.0034880582243204117
