,rho,alpha_B
Estimated,-6.071349143981934,-8.39824104309082
Theoretical,-6.1762166023254395,-8.565492630004883
Absolute Difference,0.10486745834350586,0.1672515869140625
Overall Relative Difference (ORD),0.016979239881038666,0.019526207819581032
