,1,2,3,4,5,6,7,8,9,10
Mean,2.12,0.93,0.758,1.699,2.186,1.327,2.944,2.086,1.495,1.237
Standard Deviation,0.281,0.586,0.356,0.057,0.324,0.593,0.154,0.149,0.43,0.43
