,rho,alpha_B
Estimated,-6.300501823425293,-8.806257247924805
Theoretical,-6.393167972564697,-8.845796585083008
Absolute Difference,0.0926661491394043,0.039539337158203125
Overall Relative Difference (ORD),0.014494558796286583,0.00446984451264143
